# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T00:02:49Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
JHQ,demo_jhq_v22_s2b1,stella-trec24,1024,17776615,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 16384, ""nprobe"": 8, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",3,0.8769,0.00000,114893,60,0.05,11819,218,39068,ok,
JHQ,demo_jhq_v22_s2b1,stella-trec24,1024,17776615,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 16384, ""nprobe"": 32, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",3,0.9510,0.00000,41812,24,0.06,11819,231,41102,ok,
JHQ,demo_jhq_v22_s2b1,stella-trec24,1024,17776615,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 16384, ""nprobe"": 128, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",3,0.9673,0.00000,21690,28,0.13,11821,229,40623,ok,
JHQ,demo_jhq_v22_s2b1,stella-trec24,1024,17776615,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 16384, ""nprobe"": 256, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",3,0.9698,0.00000,11442,37,0.33,11823,230,40994,ok,
