# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T03:29:34Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cagra,"{'graph_degree': 32, 'itopk_size': 64, 'search_width': 1}",bge-m3,1024,10091524,"{""graph_degree"": 32, ""itopk_size"": 64, ""search_width"": 1}",{},0,,,,0,0,,,,FAILED,"[[-1, [""CuvsException: std::bad_alloc: out_of_memory: CUDA error (failed to allocate 41334882304 bytes) at: /__w/rmm/rmm/cpp/src/mr/cuda_memory_resource.cpp:26: cudaErrorMemoryAllocation out of memory"", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
cagra,"{'graph_degree': 32, 'itopk_size': 128, 'search_width': 1}",bge-m3,1024,10091524,"{""graph_degree"": 32, ""itopk_size"": 128, ""search_width"": 1}",{},0,,,,0,0,,,,FAILED,"[[-1, [""CuvsException: std::bad_alloc: out_of_memory: CUDA error (failed to allocate 41334882304 bytes) at: /__w/rmm/rmm/cpp/src/mr/cuda_memory_resource.cpp:26: cudaErrorMemoryAllocation out of memory"", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
