# The 17.8M x 1024 add (Br=4, single pass) with JHQ_ADD_PHASES=1 (serialised, one buffer)
# so each phase is timed alone; the pipelined add overlaps the last two with the GPU work.
# The coarse assignment is the int8 tensor-core product against 16,384 centroids, the
# argmin, and the exact fp32 recomputation of the rows the error bound leaves open (about
# 15% at this nlist). Measured 2026-09-03 (asg17); the pipelined add is 3.67 s.
phase,ms,where
coarse assign: int8 GEMM + argmin + exact settlement,2674,gpu
JL rotation,570,gpu
encode,67,gpu
host to device (PCIe 5.0 at 56 GB/s),1290,overlapped
pinned staging (32 threads at 74 GB/s),990,overlapped
