ef,recall@10,qps,latency_ms
8,0.702200,486478.6,2.056
16,0.830600,406074.0,2.463
32,0.920400,305400.2,3.274
64,0.970700,208784.7,4.790
128,0.988500,128516.0,7.781
256,0.995700,71800.0,13.928
