ef,recall@10,qps,latency_ms
8,0.705800,4777.5,209.314
16,0.836600,415005.6,2.410
32,0.927000,311477.4,3.211
64,0.971800,211776.3,4.722
128,0.989200,128076.6,7.808
256,0.989400,127098.2,7.868
