method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v17 (Arxiv-768),1,1,64,0.5109,627733.0,9.1394
HBlock-v17 (Arxiv-768),2,8,64,0.905,255868.0,9.1394
HBlock-v17 (Arxiv-768),3,27,64,0.9773,114876.0,9.1394
HBlock-v17 (Arxiv-768),4,64,64,0.9928,56582.0,9.1394
HBlock-v17 (Arxiv-768),5,125,125,0.9986,24256.0,9.1394
HBlock-v17 (Arxiv-768),6,216,128,0.9978,15724.0,9.1394
HBlock-v17 (Arxiv-768),7,343,128,0.9957,11913.0,9.1394
HBlock-v17 (Arxiv-768),8,512,128,0.9934,9088.0,9.1394
HBlock-v17 (Arxiv-768),10,1000,128,0.9862,5448.0,9.1394
HBlock-v17 (Arxiv-768),12,1728,128,0.9711,3454.0,9.1394
