depth,beam_size,oracle_recall@10,recall@10,latency_ms,qps
32,32,0.9325,0.9313,3.55,281316
32,64,0.9342,0.9329,3.43,291270
32,128,0.9315,0.9303,3.44,290552
64,32,0.9410,0.9392,3.48,287299
64,64,0.9701,0.9694,5.02,199365
64,128,0.9685,0.9683,5.16,193673
