budget,beam_size,oracle_recall@10,recall@10,latency_ms,qps
8,32,0.7005,0.6945,4.53,220901
8,64,0.6898,0.6828,4.47,223639
8,128,0.6826,0.6750,4.47,223936
16,32,0.8234,0.8082,6.61,151174
16,64,0.8301,0.8139,6.30,158836
16,128,0.8272,0.8134,6.24,160161
32,32,0.9249,0.9006,9.96,100429
32,64,0.9230,0.9011,9.93,100696
32,128,0.9220,0.8978,9.96,100382
64,32,0.9189,0.8937,11.15,89664
64,64,0.9671,0.9413,17.09,58497
64,128,0.9681,0.9445,17.24,57990
