ef,recall@10,qps,latency_ms
8,0.708800,490234.0,2.040
16,0.836300,411707.5,2.429
32,0.927100,307027.9,3.257
64,0.973300,209998.6,4.762
128,0.990500,128938.5,7.756
256,0.996800,71952.5,13.898
