budget,beam_size,oracle_recall@10,recall@10,latency_ms,qps
32,32,0.9171,0.9149,3.41,293342
32,64,0.9122,0.9107,3.41,293403
32,128,0.9177,0.9156,3.40,293891
64,32,0.9207,0.9191,3.37,296808
64,64,0.9728,0.9715,4.93,202932
64,128,0.9716,0.9702,4.94,202247
