method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v20 (Arxiv-768),1,1,64,0.64,496545.0,7.8825
HBlock-v20 (Arxiv-768),2,8,64,0.9527,191628.0,7.8825
HBlock-v20 (Arxiv-768),3,27,64,0.9871,85348.0,7.8825
HBlock-v20 (Arxiv-768),4,64,64,0.9904,44253.0,7.8825
HBlock-v20 (Arxiv-768),5,125,125,0.9963,19674.0,7.8825
HBlock-v20 (Arxiv-768),6,216,128,0.9924,13459.0,7.8825
HBlock-v20 (Arxiv-768),7,343,128,0.9893,10109.0,7.8825
HBlock-v20 (Arxiv-768),8,512,128,0.9854,7748.0,7.8825
HBlock-v20 (Arxiv-768),10,1000,128,0.9681,4703.0,7.8825
HBlock-v20 (Arxiv-768),12,1728,128,0.9509,3037.0,7.8825
