method,nprobe,recall,qps,build_time
JHQ-GPU-v12-Transposed,1,0.9431,323385.0,28.215700000000002
JHQ-GPU-v12-Transposed,2,0.9868,239507.0,28.215700000000002
JHQ-GPU-v12-Transposed,4,0.9982,163286.0,28.215700000000002
JHQ-GPU-v12-Transposed,8,0.9997,109113.0,28.215700000000002
JHQ-GPU-v12-Transposed,16,0.9999,63979.0,28.215700000000002
JHQ-GPU-v12-Transposed,32,0.9997,36590.0,28.215700000000002
JHQ-GPU-v12-Transposed,64,0.9999,19329.0,28.215700000000002
JHQ-GPU-v12-Transposed,128,1.0,9595.0,28.215700000000002
