ef,recall@10,qps,latency_ms
8,0.700000,503247.1,1.987
16,0.831600,415823.3,2.405
32,0.921200,310907.2,3.216
64,0.972600,211839.7,4.721
128,0.990700,129808.5,7.704
256,0.990700,127160.0,7.864
