depth,beam_size,oracle_recall@10,recall@10,latency_ms,qps
32,32,0.9306,0.9285,3.47,288394
32,64,0.9285,0.9272,3.45,290173
32,128,0.9229,0.9197,3.45,290063
64,32,0.9261,0.9241,3.52,284445
64,64,0.9745,0.9740,5.00,200146
64,128,0.9706,0.9689,5.08,196959
128,32,0.9289,0.9273,3.51,285155
128,64,0.9722,0.9711,5.15,194315
128,128,0.9889,0.9888,8.08,123816
256,32,0.9257,0.9241,3.60,278098
256,64,0.9743,0.9739,5.07,197121
256,128,0.9916,0.9914,9.32,107273
