method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v19 (Arxiv-768),1,1,64,0.6063,397774.0,5.306799999999999
HBlock-v19 (Arxiv-768),2,8,64,0.8565,157817.0,5.306799999999999
HBlock-v19 (Arxiv-768),3,27,64,0.9056,75153.0,5.306799999999999
HBlock-v19 (Arxiv-768),4,64,64,0.9176,52673.0,5.306799999999999
HBlock-v19 (Arxiv-768),5,125,125,0.9714,23353.0,5.306799999999999
HBlock-v19 (Arxiv-768),6,216,192,0.9853,8169.0,5.306799999999999
HBlock-v19 (Arxiv-768),7,343,192,0.9839,7068.0,5.306799999999999
HBlock-v19 (Arxiv-768),8,512,192,0.9837,6022.0,5.306799999999999
HBlock-v19 (Arxiv-768),10,1000,192,0.9808,4291.0,5.306799999999999
HBlock-v19 (Arxiv-768),12,1728,192,0.9782,3071.0,5.306799999999999
