method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v18 (Vogue-768),1,1,32,0.2597,517876.0,3.8645
HBlock-v18 (Vogue-768),2,8,32,0.5575,344687.0,3.8645
HBlock-v18 (Vogue-768),3,27,32,0.6771,225004.0,3.8645
HBlock-v18 (Vogue-768),4,64,64,0.8408,92959.0,3.8645
HBlock-v18 (Vogue-768),5,125,64,0.8644,66900.0,3.8645
HBlock-v18 (Vogue-768),6,216,64,0.8777,54163.0,3.8645
HBlock-v18 (Vogue-768),7,343,64,0.8782,43603.0,3.8645
HBlock-v18 (Vogue-768),8,512,64,0.877,35755.0,3.8645
HBlock-v18 (Vogue-768),10,1000,64,0.877,23966.0,3.8645
HBlock-v18 (Vogue-768),12,1728,64,0.8733,16687.0,3.8645
