depth,beam_size,oracle_recall@10,recall@10,latency_ms,qps
32,32,0.9358,0.9347,3.46,288863
32,64,0.9355,0.9338,3.45,289747
32,128,0.9341,0.9315,3.65,273978
64,32,0.9354,0.9342,3.53,283087
64,64,0.9697,0.9692,5.22,191641
64,128,0.9663,0.9659,5.28,189308
128,32,0.9307,0.9295,3.70,270494
128,64,0.9736,0.9734,5.20,192450
128,128,0.9859,0.9857,8.44,118548
256,32,0.9339,0.9329,3.57,280389
256,64,0.9727,0.9719,5.70,175498
256,128,0.9890,0.9889,8.97,111460
