budget,top_p,oracle_recall@10,recall@10,latency_ms,qps
8,4,0.7650,0.7065,2.49,401960
8,8,0.7538,0.7373,2.81,355381
16,4,0.8468,0.8113,3.45,290213
16,8,0.8534,0.8458,3.88,257705
32,4,0.9167,0.9003,4.34,230422
32,8,0.9210,0.9128,5.13,194924
64,4,0.9307,0.9115,4.53,220671
64,8,0.9282,0.9215,5.66,176549
