ef,recall@10,qps,latency_ms
8,0.692800,457477.5,2.186
16,0.824300,364056.7,2.747
32,0.921700,260806.0,3.834
64,0.969000,172793.3,5.787
128,0.990500,105109.1,9.514
256,0.996900,59295.1,16.865
