budget,top_p,oracle_recall@10,recall@10,latency_ms,qps
8,4,0.7022,0.6325,2.42,412460
8,8,0.6792,0.6578,2.87,348934
16,4,0.8279,0.7864,3.13,319873
16,8,0.8168,0.8031,3.90,256399
32,4,0.9167,0.8961,4.39,227725
32,8,0.9072,0.8933,5.22,191496
64,4,0.9181,0.8961,4.62,216335
64,8,0.9187,0.9059,5.62,177874
