ef,recall@10,qps,latency_ms
8,0.293345,479502.3,61.138
16,0.343301,444713.6,65.921
32,0.393212,380988.6,76.947
64,0.440408,303678.9,96.536
128,0.488658,221534.8,132.331
256,0.535793,143250.3,204.649
