method,M,nprobe,recall,cpu_qps,build_s,bytes_per_vec
FAISS-CPU-IVFPQ-192B,192,8,0.7821,2535.649469752753,127.34799146652222,192
FAISS-CPU-IVFPQ-192B,192,32,0.8352,1402.2970059752113,127.34799146652222,192
FAISS-CPU-IVFPQ-192B,192,128,0.8442999999999999,441.8651764156333,127.34799146652222,192
FAISS-CPU-IVFPQ-384B,384,8,0.8611000000000001,2402.915830710407,172.88847088813782,384
FAISS-CPU-IVFPQ-384B,384,32,0.9366,737.4491523993316,172.88847088813782,384
FAISS-CPU-IVFPQ-384B,384,128,0.9516,223.41102171707743,172.88847088813782,384
