method,nprobe,recall,qps,build_time
HBlock-v1,1,0.8837,21083.0,38.5184
HBlock-v1,2,0.9576,20784.0,38.5184
HBlock-v1,4,0.9899,20747.0,38.5184
HBlock-v1,8,0.9982,20810.0,38.5184
HBlock-v1,16,0.9999,20460.0,38.5184
HBlock-v1,32,1.0,19805.0,38.5184
HBlock-v1,64,1.0,17959.0,38.5184
HBlock-v1,128,1.0,12997.0,38.5184
