ef,recall@10,qps,latency_ms
8,0.700100,6581.3,151.945
16,0.837700,416629.9,2.400
32,0.927000,307256.5,3.255
64,0.970700,207983.4,4.808
128,0.989500,126085.9,7.931
256,0.989700,123392.5,8.104
