method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v17 (Vogue-768),1,1,64,0.3542,400715.0,5.1099
HBlock-v17 (Vogue-768),2,8,64,0.8018,130481.0,5.1099
HBlock-v17 (Vogue-768),3,27,64,0.9342,91463.0,5.1099
HBlock-v17 (Vogue-768),4,64,64,0.9657,64769.0,5.1099
HBlock-v17 (Vogue-768),5,125,125,0.9914,26468.0,5.1099
HBlock-v17 (Vogue-768),6,216,128,0.9937,19160.0,5.1099
HBlock-v17 (Vogue-768),7,343,128,0.9911,15649.0,5.1099
HBlock-v17 (Vogue-768),8,512,128,0.9904,12703.0,5.1099
HBlock-v17 (Vogue-768),10,1000,128,0.9825,8643.0,5.1099
HBlock-v17 (Vogue-768),12,1728,128,0.9665,6067.0,5.1099
