budget,top_p,oracle_recall@10,recall@10,latency_ms,qps
8,4,0.6449,0.5732,2.37,422055
8,8,0.6515,0.6316,2.80,357679
8,16,0.6468,0.6405,3.62,276485
16,4,0.7818,0.7303,3.03,329905
16,8,0.7749,0.7620,3.81,262281
16,16,0.7796,0.7672,4.64,215576
32,4,0.8863,0.8648,4.36,229222
32,8,0.8848,0.8688,5.71,175013
32,16,0.8859,0.8662,6.80,147048
64,4,0.8849,0.8657,4.77,209717
64,8,0.8958,0.8805,6.04,165644
64,16,0.8901,0.8697,8.31,120309
