ef,seed_per_block,nq,visited_blocks_per_query,valid_candidates_per_query,seeds_per_query,tau_u_mean,tau_seed_mean,tau_ratio_mean,survivors_per_block,p50_survivors_block,p90_survivors_block,p99_survivors_block,blocks_over_16_pct,nonseed_survivors_per_query,total_exact_per_query,baseline_exact_per_query,exact_ratio_mean,exact_ratio_p50,exact_ratio_p90,queries_better_than_baseline_pct,queries_with_insufficient_seeds,candidate_set_top10_agreement
32,1,1000,32.0000,3404.9080,32.0000,0.949225,0.668166,0.782247,61.0300,49.0000,128.0000,128.0000,75.2656,1923.0200,1955.0200,511.8280,3.819630,3.115686,7.832031,19.6000,0,100.0000
32,2,1000,32.0000,3404.9080,64.0000,0.949225,0.642370,0.750830,56.0530,39.0000,128.0000,128.0000,68.4344,1738.0100,1802.0100,511.8280,3.520626,2.474609,7.826172,26.5000,0,100.0000
32,4,1000,32.0000,3404.9080,127.9990,0.949225,0.630079,0.735990,53.9962,35.0000,128.0000,128.0000,65.1344,1626.0670,1754.0660,511.8280,3.426928,2.181641,7.822266,29.3000,0,100.0000
32,8,1000,32.0000,3404.9080,255.9890,0.949225,0.626236,0.730864,53.3867,34.0000,128.0000,128.0000,64.3094,1523.7510,1779.7400,511.8280,3.477077,2.205078,7.822266,26.8000,0,100.0000
64,1,1000,64.0000,6779.5000,64.0000,0.930632,0.641078,0.767317,52.6611,32.0000,128.0000,128.0000,63.2016,3315.7740,3379.7740,1023.5920,3.301557,2.126953,7.777344,32.0000,0,100.0000
64,2,1000,64.0000,6779.5000,128.0000,0.930632,0.621209,0.742143,49.4074,26.0000,128.0000,128.0000,58.2313,3063.5970,3191.5970,1023.5920,3.117703,1.622919,7.772461,36.8000,0,100.0000
64,4,1000,64.0000,6779.5000,255.9980,0.930632,0.612337,0.730898,48.1967,23.0000,128.0000,128.0000,56.1344,2907.1670,3163.1650,1023.5920,3.089903,1.551758,7.767578,38.2000,0,100.0000
64,8,1000,64.0000,6779.5000,511.9770,0.930632,0.609892,0.727330,47.8869,23.0000,128.0000,128.0000,55.7156,2745.7370,3257.7140,1023.5920,3.182275,1.653242,7.767578,35.1000,0,100.0000
128,1,1000,128.0000,13515.9990,128.0000,0.915645,0.621265,0.757357,46.6109,21.0000,128.0000,128.0000,53.8867,5870.3740,5998.3740,2046.9940,2.929714,1.407715,7.709473,43.2000,0,100.0000
128,2,1000,128.0000,13515.9990,256.0000,0.915645,0.604167,0.735384,44.1648,17.0000,128.0000,128.0000,50.1320,5483.3820,5739.3820,2046.9940,2.803177,1.177246,7.707031,46.6000,0,100.0000
128,4,1000,128.0000,13515.9990,511.9960,0.915645,0.597251,0.725748,43.4345,15.0000,128.0000,128.0000,48.9180,5255.7440,5767.7400,2046.9940,2.817019,1.176270,7.706055,46.0000,0,100.0000
128,8,1000,128.0000,13515.9990,1023.9310,0.915645,0.595588,0.723223,43.2766,15.0000,128.0000,128.0000,48.6437,4993.1570,6017.0880,2046.9940,2.938848,1.315918,7.706055,41.8000,0,100.0000
256,1,1000,256.0000,26926.4780,256.0000,0.903912,0.606295,0.750104,41.7809,13.0000,128.0000,128.0000,46.6480,10531.7250,10787.7250,4093.3820,2.634719,0.956299,7.615723,50.9000,0,100.0000
256,2,1000,256.0000,26926.4780,512.0000,0.903912,0.590690,0.729398,40.1260,10.0000,128.0000,128.0000,43.8672,9983.3070,10495.3070,4093.3820,2.563264,0.814941,7.607178,53.8000,0,100.0000
256,4,1000,256.0000,26926.4780,1023.9950,0.903912,0.585458,0.721764,39.6702,10.0000,128.0000,128.0000,43.1125,9636.7040,10660.6990,4093.3820,2.603666,0.853516,7.606201,53.7000,0,100.0000
256,8,1000,256.0000,26926.4780,2047.8100,0.903912,0.584118,0.719569,39.5615,10.0000,128.0000,128.0000,42.9176,9189.9410,11237.7510,4093.3820,2.744659,1.033023,7.606934,48.6000,0,100.0000
