budget,beam_size,oracle_recall@10,recall@10,latency_ms,qps
8,32,0.7466,0.7436,9.32,107304
8,64,0.7633,0.7591,9.41,106247
8,128,0.7649,0.7622,9.24,108243
16,32,0.8500,0.8439,15.50,64510
16,64,0.8646,0.8588,15.50,64497
16,128,0.8426,0.8346,15.55,64326
32,32,0.9213,0.9111,27.82,35949
32,64,0.9261,0.9173,27.80,35970
