ef,recall@10,qps,latency_ms
8,0.708100,311178.3,3.214
16,0.837300,218581.6,4.575
32,0.924300,132773.5,7.532
64,0.974000,75748.1,13.202
128,0.991500,40832.9,24.490
256,0.997300,21182.6,47.209
