ef,recall@10,qps,latency_ms
8,0.706700,494626.7,2.022
16,0.840200,418066.7,2.392
32,0.925400,309363.9,3.232
64,0.969900,210386.5,4.753
128,0.990400,129825.8,7.703
256,0.996800,72033.4,13.882
