method,nprobe,recall,qps,build_time
JHQ-GPU-v14-StreamingAdd,1,0.6903,7271.0,52.06739999999999
JHQ-GPU-v14-StreamingAdd,2,0.8435,4904.0,52.06739999999999
JHQ-GPU-v14-StreamingAdd,4,0.9361,3694.0,52.06739999999999
JHQ-GPU-v14-StreamingAdd,8,0.9749,2470.0,52.06739999999999
JHQ-GPU-v14-StreamingAdd,16,0.9928,1596.0,52.06739999999999
JHQ-GPU-v14-StreamingAdd,32,0.9973,1062.0,52.06739999999999
JHQ-GPU-v14-StreamingAdd,64,0.9982,728.0,52.06739999999999
JHQ-GPU-v14-StreamingAdd,128,0.9988,498.0,52.06739999999999
