ef,recall@10,qps,latency_ms
8,0.190700,317220.7,3.152
16,0.269700,222680.1,4.491
32,0.370200,134062.8,7.459
64,0.487600,76554.8,13.063
128,0.607200,40868.3,24.469
256,0.711500,21125.8,47.336
