ef,recall@10,qps,latency_ms
8,0.111922,1746.1,16788.955
16,0.134899,1641.4,17860.674
32,0.164470,1478.2,19832.505
64,0.200215,1260.6,23255.238
128,0.244208,1031.7,28415.177
256,0.292755,841.7,34829.923
