ef,recall@10,qps,latency_ms
8,0.701100,494500.5,2.022
16,0.831600,401393.1,2.491
32,0.924000,289493.4,3.454
64,0.968900,192986.3,5.182
128,0.989600,117768.5,8.491
256,0.995600,64517.9,15.500
