ef,recall@10,qps,latency_ms
8,0.293468,458697.2,63.911
16,0.343400,421943.0,69.479
32,0.393597,363892.3,80.562
64,0.440851,295991.9,99.043
128,0.489258,216449.2,135.441
256,0.536492,141882.2,206.622
