ef,recall@10,qps,latency_ms
8,0.605600,2121.1,471.462
16,0.782600,389798.3,2.565
32,0.918200,311598.4,3.209
64,0.970900,211423.3,4.730
128,0.989700,129327.5,7.732
256,0.996200,71898.3,13.909
