budget,beam_size,oracle_recall@10,recall@10,latency_ms,qps
32,32,0.9200,0.9181,3.50,285627
32,64,0.9138,0.9124,3.43,291172
32,128,0.9252,0.9237,3.43,291124
64,32,0.9260,0.9248,3.51,284955
64,64,0.9645,0.9637,5.04,198364
64,128,0.9607,0.9603,5.22,191553
