method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v21 (Arxiv-768),1,1,64,0.5193,628311.0,7.2886999999999995
HBlock-v21 (Arxiv-768),2,8,64,0.8988,253185.0,7.2886999999999995
HBlock-v21 (Arxiv-768),3,27,64,0.9789,113978.0,7.2886999999999995
HBlock-v21 (Arxiv-768),4,64,64,0.9918,56152.0,7.2886999999999995
HBlock-v21 (Arxiv-768),5,125,125,0.9978,24448.0,7.2886999999999995
HBlock-v21 (Arxiv-768),6,216,128,0.9984,15683.0,7.2886999999999995
HBlock-v21 (Arxiv-768),7,343,128,0.9952,11822.0,7.2886999999999995
HBlock-v21 (Arxiv-768),8,512,128,0.9947,9053.0,7.2886999999999995
HBlock-v21 (Arxiv-768),10,1000,128,0.9823,5447.0,7.2886999999999995
HBlock-v21 (Arxiv-768),12,1728,128,0.9709,3471.0,7.2886999999999995
