method,nprobe,recall,qps,build_time,pre_v15_score

JHQ-GPU-v15-EvalFix,1,0.6325,30309.0,48.0383,0.8369

JHQ-GPU-v15-EvalFix,2,0.7911,18005.0,48.0383,0.9458

JHQ-GPU-v15-EvalFix,4,0.8813,11717.0,48.0383,0.9867

JHQ-GPU-v15-EvalFix,8,0.9242,7321.0,48.0383,0.9972

JHQ-GPU-v15-EvalFix,16,0.9383,4549.0,48.0383,0.9991

JHQ-GPU-v15-EvalFix,32,0.9459,2687.0,48.0383,0.9995

JHQ-GPU-v15-EvalFix,64,0.9483,1515.0,48.0383,0.9995

JHQ-GPU-v15-EvalFix,128,0.9493,791.0,48.0383,0.9995
