method,nprobe,recall,qps,build_time,pre_v15_score

JHQ-GPU-v15-EvalFix,1,0.4566,330733.0,29.4228,0.9424

JHQ-GPU-v15-EvalFix,2,0.5872,237949.0,29.4228,0.9867

JHQ-GPU-v15-EvalFix,4,0.6784,166870.0,29.4228,0.9981

JHQ-GPU-v15-EvalFix,8,0.7393,110372.0,29.4228,0.9997

JHQ-GPU-v15-EvalFix,16,0.7726,65072.0,29.4228,0.9999

JHQ-GPU-v15-EvalFix,32,0.7885,36738.0,29.4228,0.9997

JHQ-GPU-v15-EvalFix,64,0.7943,19480.0,29.4228,0.9999

JHQ-GPU-v15-EvalFix,128,0.7969,9615.0,29.4228,1.0
