method,nprobe,recall,qps,build_time,pre_v15_score

JHQ-GPU-v15-EvalFix,1,0.5156,257983.0,54.7155,0.7611

JHQ-GPU-v15-EvalFix,2,0.6343,196110.0,54.7155,0.8798

JHQ-GPU-v15-EvalFix,4,0.7353,140037.0,54.7155,0.9499

JHQ-GPU-v15-EvalFix,8,0.8068,100574.0,54.7155,0.981

JHQ-GPU-v15-EvalFix,16,0.8652,63113.0,54.7155,0.9939

JHQ-GPU-v15-EvalFix,32,0.9055,37743.0,54.7155,0.9982

JHQ-GPU-v15-EvalFix,64,0.9332,21820.0,54.7155,0.9994

JHQ-GPU-v15-EvalFix,128,0.9499,11462.0,54.7155,0.9999
