# {"commit": "c67162b", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-06T03:33:38Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
JHQ,demo_jhq_v39_exp,bge-m3,1024,10091524,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 8192, ""nprobe"": 8, ""prefix"": ""1/1""}","{""JHQ_BLOCK"": 1024, ""JHQ_INDEX_CACHE"": ""/root/jhq_cache"", ""JHQ_TILE_M_RT"": 128}",3,0.7212,0.00000,88534,38,0.04,7033,34,1918,ok,
JHQ,demo_jhq_v39_exp,bge-m3,1024,10091524,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 8192, ""nprobe"": 32, ""prefix"": ""1/1""}","{""JHQ_BLOCK"": 1024, ""JHQ_INDEX_CACHE"": ""/root/jhq_cache"", ""JHQ_TILE_M_RT"": 128}",3,0.8615,0.00000,36737,31,0.08,7033,32,1870,ok,
JHQ,demo_jhq_v39_exp,bge-m3,1024,10091524,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 8192, ""nprobe"": 128, ""prefix"": ""1/1""}","{""JHQ_BLOCK"": 1024, ""JHQ_INDEX_CACHE"": ""/root/jhq_cache"", ""JHQ_TILE_M_RT"": 128}",3,0.9314,0.00000,14729,11,0.08,7035,37,1860,ok,
JHQ,demo_jhq_v39_exp,bge-m3,1024,10091524,"{""B"": 8, ""Br"": 4, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 8192, ""nprobe"": 256, ""prefix"": ""1/1""}","{""JHQ_BLOCK"": 1024, ""JHQ_INDEX_CACHE"": ""/root/jhq_cache"", ""JHQ_TILE_M_RT"": 128}",3,0.9482,0.00000,8105,36,0.45,7037,34,1866,ok,
