# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T02:19:57Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,768B,vogue-768,768,932328,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.9855,0.00000,2073,7,0.31,1386,11649,,ok,
cuVS-IVFPQ,768B,vogue-768,768,932328,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.9845,0.00000,1073,2,0.18,1244,10663,,ok,
