# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-03T11:19:17Z"}
# Re-measured with the card held under flock. Memory is fixed (pq128 now 3416-3558 MiB
# against 15951/11280/-16827 before) and the pq256 control held its band, so the earlier
# readings were contention. One row still fails the <5% QPS spread bar and is marked.
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 16384, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 128, ""trainset_fraction"": 0.05}",{},3,0.7438,0.00000,113511,13624,12.00,3558,56870,,CONTAMINATED,"[[-2, [""QPS spread 12.00% after re-measurement; memory and recall are within band, this row's qps_mean is not usable""]]]"
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 16384, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 128, ""trainset_fraction"": 0.05}",{},3,0.7445,0.00000,38320,109,0.29,3426,39746,,ok,
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 16384, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 128, ""trainset_fraction"": 0.05}",{},3,0.7403,0.00000,19731,394,2.00,3416,43658,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 16384, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 256, ""trainset_fraction"": 0.05}",{},3,0.8790,0.00000,96551,294,0.30,6520,43702,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 16384, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 256, ""trainset_fraction"": 0.05}",{},3,0.8904,0.00000,29602,529,1.79,6512,42974,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 16384, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 256, ""trainset_fraction"": 0.05}",{},3,0.8897,0.00000,15398,352,2.29,6540,44245,,ok,
