# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T00:11:43Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
JHQ,demo_jhq_v22_s2b1,stella-trec24,1024,17776615,"{""B"": 8, ""Br"": 8, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 16384, ""nprobe"": 32, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",0,,,,0,0,,,,FAILED,"[[1, [""  train: 21602.8 ms"", ""Adding 17776615 vectors..."", ""CUDA error /root/JHQ_GPU/jhq_v21_cascade/jhq_gpu_index.cu:688  out of memory""]], [1, [""  train: 227.6 ms"", ""Adding 17776615 vectors..."", ""CUDA error /root/JHQ_GPU/jhq_v21_cascade/jhq_gpu_index.cu:688  out of memory""]]]"
JHQ,demo_jhq_v22_s2b1,stella-trec24,1024,17776615,"{""B"": 8, ""Br"": 8, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 16384, ""nprobe"": 128, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",0,,,,0,0,,,,FAILED,"[[1, [""  train: 226.0 ms"", ""Adding 17776615 vectors..."", ""CUDA error /root/JHQ_GPU/jhq_v21_cascade/jhq_gpu_index.cu:688  out of memory""]], [1, [""  train: 228.6 ms"", ""Adding 17776615 vectors..."", ""CUDA error /root/JHQ_GPU/jhq_v21_cascade/jhq_gpu_index.cu:688  out of memory""]]]"
JHQ,demo_jhq_v22_s2b1,stella-trec24,1024,17776615,"{""B"": 8, ""Br"": 8, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 16384, ""nprobe"": 256, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",0,,,,0,0,,,,FAILED,"[[1, [""  train: 224.9 ms"", ""Adding 17776615 vectors..."", ""CUDA error /root/JHQ_GPU/jhq_v21_cascade/jhq_gpu_index.cu:688  out of memory""]], [1, [""  train: 227.5 ms"", ""Adding 17776615 vectors..."", ""CUDA error /root/JHQ_GPU/jhq_v21_cascade/jhq_gpu_index.cu:688  out of memory""]]]"
