# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T23:40:40Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
JHQ,demo_jhq_v22_s2b1,bge-m3,1024,10091524,"{""B"": 8, ""Br"": 8, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 8192, ""nprobe"": 32, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",3,0.8687,0.00000,19187,84,0.44,12897,175,18456,ok,
JHQ,demo_jhq_v22_s2b1,bge-m3,1024,10091524,"{""B"": 8, ""Br"": 8, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 8192, ""nprobe"": 128, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",3,0.9484,0.00000,8257,6,0.07,12899,174,18691,ok,
JHQ,demo_jhq_v22_s2b1,bge-m3,1024,10091524,"{""B"": 8, ""Br"": 8, ""M"": 128, ""alpha"": 100.0, ""batch"": 1024, ""ivf_iters"": 8, ""k"": 10, ""kmeans_iters"": 5, ""nlist"": 8192, ""nprobe"": 256, ""prefix"": ""1/2""}","{""JHQ_BLOCK"": 1024, ""JHQ_PFX_DEN"": ""2"", ""JHQ_PFX_NUM"": ""1"", ""JHQ_TILE_M_RT"": 128}",3,0.9705,0.00000,4848,9,0.19,12901,172,18566,ok,
